ability	(n) [əˈbɪlɪti] khả năng
effectively	(adv) [ɪˈfektɪvli] hiệu quả, một cách hiệu quả
efficiency	(n) [ɪˈfɪʃənsi] hiệu suất, hiệu quả
efficient	(adj) [ɪˈfɪʃnt] hiệu quả, hiệu suất
effort	(n) [ˈefət] nỗ lực, cố gắng
egg	(n) [eɡ] trứng, quả trứng
eight	(num) [eɪt] tám, số tám
eighteen	(num) [ˌeɪˈtiːn] mười tám, số mười tám
eighth	(num) [eɪtθ] thứ tám, thứ tám
eighty	(num) [ˈeɪti] tám mươi, số tám mươi
either	(det) [ˈaɪðə(r)] cả hai, bất kỳ
elbow	(n) [ˈelbəʊ] khuỷu tay, khuỷu tay
elderly	(adj) [ˈeldəli] người già, người cao tuổi
elect	(v) [ɪˈlekt] bầu cử, bầu cử
election	(n) [ɪˈlekʃn] cuộc bầu cử, bầu cử
electric	(adj) [ɪˈlektrɪk] điện, điện
electrical	(adj) [ɪˈlektrɪkl] điện, điện
electricity	(n) [ɪˌlekˈtrɪsɪti] điện, điện
electronic	(adj) [ɪˌlekˈtrɒnɪk] điện tử, điện tử
element	(n) [ˈelɪmənt] yếu tố, nguyên tố
elevator	(n) [ˈelɪveɪtə(r)] thang máy, thang máy
eleven	(num) [ɪˈlevən] mười một, số mười một
else	(adv) [els] khác, khác
elsewhere	(adv) [ˌelsˈweə(r)] ở nơi khác, ở đâu khác
email	(n) [ˈiːmeɪl] thư điện tử, email
embarrass	(v) [ɪmˈbærəs] làm xấu hổ, làm ngượng ngùng
embarrassing	(adj) [ɪmˈbærəsɪŋ] xấu hổ, ngượng ngùng
embarrassment	(n) [ɪmˈbærəsmənt] sự xấu hổ, sự ngượng ngùng
emergency	(n) [ɪˈmɜːdʒənsi] tình trạng khẩn cấp, tình huống khẩn cấp
emission	(n) [ɪˈmɪʃn] phát thải, sự phát ra
emotion	(n) [ɪˈməʊʃn] cảm xúc, tình cảm
emotional	(adj) [ɪˈməʊʃənl] cảm động, xúc động
emphasis	(n) [ˈemfəsɪs] sự nhấn mạnh, sự tôn trọng
emphasize	(v) [ˈemfəsaɪz] nhấn mạnh, làm nổi bật
empire	(n) [ˈempaɪə(r)] đế chế, đế quốc
employ	(v) [ɪmˈplɔɪ] sử dụng, thuê người làm
employee	(n) [ɪmˈplɔɪiː] nhân viên, người làm việc
employer	(n) [ɪmˈplɔɪə(r)] nhà tuyển dụng, người sử dụng lao động
employment	(n) [ɪmˈplɔɪmənt] việc làm, sự thuê người làm
empty	(adj) [ˈempti] trống, rỗng
enable	(v) [ɪˈneɪbl] cho phép, làm cho có thể
encounter	(v) [ɪnˈkaʊntə(r)] gặp phải, gặp gỡ
encourage	(v) [ɪnˈkʌrɪdʒ] khuyến khích, động viên
end	(n) [end] cuối cùng, kết thúc
ending	(n) [ˈendɪŋ] kết thúc, phần kết
enemy	(n) [ˈenəmi] kẻ thù, kẻ địch
energy	(n) [ˈenədʒi] năng lượng, sinh lực
engage	(v) [ɪnˈɡeɪdʒ] tham gia, cam kết
engagement	(n) [ɪnˈɡeɪdʒmənt] sự tham gia, sự cam kết
engine	(n) [ˈendʒɪn] động cơ, máy móc
engineer	(n) [ˌendʒɪˈnɪə(r)] kỹ sư, kỹ sư
engineering	(n) [ˌendʒɪˈnɪərɪŋ] kỹ thuật, ngành kỹ sư
enhance	(v) [ɪnˈhæns] nâng cao, tăng cường
enjoy	(v) [ɪnˈdʒɔɪ] thích, tận hưởng
enormous	(adj) [ɪˈnɔːməs] khổng lồ, to lớn
enough	(adj) [ɪˈnʌf] đủ, đủ
ensure	(v) [ɪnˈʃʊə(r)] đảm bảo, chắc chắn
enter	(v) [ˈentə(r)] đi vào, nhập vào
enterprise	(n) [ˈentəpraɪz] doanh nghiệp, doanh nghiệp
entertainment	(n) [ˌentəˈteɪnmənt] giải trí, sự giải trí
enthusiasm	(n) [ɪnˈθjuːziæzəm] lòng nhiệt huyết, sự hăng hái
enthusiastic	(adj) [ɪnˌθjuːziˈæstɪk] nhiệt huyết, hăng hái
entire	(adj) [ɪnˈtaɪə(r)] toàn bộ, toàn bộ
entirely	(adv) [ɪnˈtaɪəli] hoàn toàn, toàn bộ
entitle	(v) [ɪnˈtaɪtl] đề xuất, đặc quyền
entity	(n) [ˈentəti] thực thể, thực thể
entrance	(n) [ˈentrəns] lối vào, cửa vào
entry	(n) [ˈentrɪ] đăng ký, bản ghi
environment	(n) [ɪnˈvaɪrənmənt] môi trường, môi trường
environmental	(adj) [ɪnˌvaɪrənˈmentl] môi trường, môi trường
episode	(n) [ˈɪpɪsəʊd] tập phim, tập
equal	(adj) [ˈiːkwəl] bằng nhau, bằng nhau
equally	(adv) [ˈiːkwəli] bằng nhau, bằng nhau
equipment	(n) [ɪˈkwɪpmənt] thiết bị, trang thiết bị
equivalent	(adj) [ɪˈkwɪvələnt] tương đương, đương đương
error	(n) [ˈerə(r)] lỗi, sai lầm
escape	(v) [ɪˈskeɪp] trốn thoát, thoát
especially	(adv) [ɪˈspeʃəli] đặc biệt, đặc biệt
essay	(n) [ˈeseɪ] bài luận, bài tiểu luận
essential	(adj) [ɪˈsenʃl] cần thiết, quan trọng
essentially	(adv) [ɪˈsenʃli] về cơ bản, về cơ bản
establish	(v) [ɪˈstæblɪʃ] thành lập, thiết lập
establishment	(n) [ɪˈstæblɪʃmənt] sự thành lập, cơ sở
estate	(n) [ɪˈsteɪt] bất động sản, tài sản
estimate	(v) [ˈestɪmeɪt] ước tính, ước tính
etc	(adv) [etˈsetərə] vân vân, và các khác
ethical	(adj) [ˈeθɪkl] đạo đức, đạo đức
ethnic	(adj) [ˈeθnɪk] dân tộc, dân tộc
europe	(n) [ˈjʊərəp] châu Âu, châu Âu
european	(adj) [jʊərəˈpiːən] châu Âu, người châu Âu
even	(adv) [ˈiːvn] thậm chí, ngay cả
evening	(n) [ˈiːvnɪŋ] buổi tối, tối
event	(n) [ɪˈvent] sự kiện, sự kiện
eventually	(adv) [ɪˈventʃuəli] cuối cùng, sau cùng
ever	(adv) [ˈevə(r)] từng, từng
every	(det) [ˈevri] mỗi, mọi
everybody	(pro) [ˈevribɒdi] mọi người, tất cả mọi người
everyone	(pro) [ˈevriwʌn] mọi người, tất cả mọi người
everything	(pro) [ˈevriθɪŋ] mọi thứ, tất cả mọi thứ
everywhere	(adv) [ˈevriweə(r)] khắp mọi nơi, ở khắp mọi nơi
evidence	(n) [ˈevɪdəns] bằng chứng, chứng cứ
evolution	(n) [ˌiːvəˈluːʃn] sự tiến hóa, tiến triển
evolve	(v) [ɪˈvɒlv] tiến hóa, phát triển
exact	(adj) [ɪɡˈzækt] chính xác, đúng
exactly	(adv) [ɪɡˈzæktli] chính xác, đúng
exam	(n) [ɪɡˈzæm] kỳ thi, bài kiểm tra
examination	(n) [ɪɡˌzæmɪˈneɪʃn] kỳ thi, sự kiểm tra
examine	(v) [ɪɡˈzæmɪn] kiểm tra, xem xét
example	(n) [ɪɡˈzɑːmpl] ví dụ, mẫu
exceed	(v) [ɪkˈsiːd] vượt qua, vượt quá
excellent	(adj) [ˈeksələnt] xuất sắc, tuyệt vời
except	(pre) [ɪkˈsept] trừ, ngoại trừ
exception	(n) [ɪkˈsepʃn] ngoại lệ, trường hợp ngoại lệ
exchange	(v) [ɪksˈtʃeɪndʒ] trao đổi, hoán đổi
excite	(v) [ɪkˈsaɪt] kích thích, làm phấn khích
excitement	(n) [ɪkˈsaɪtmənt] sự phấn khích, hào hứng
exciting	(adj) [ɪkˈsaɪtɪŋ] hứng thú, gây phấn khích
exclude	(v) [ɪkˈskluːd] loại trừ, không tính đến
exclusive	(adj) [ɪkˈskluːsɪv] độc quyền, riêng biệt
excuse	(n) [ɪkˈskjuːs] lời xin lỗi, lí do
execute	(v) [ˈeksɪkjuːt] thực hiện, thi hành
execution	(n) [ˌeksɪˈkjuːʃn] sự thực hiện, sự thi hành
executive	(adj) [ɪɡˈzekjətɪv] hành chính, hành chính
exercise	(n) [ˈeksəsaɪz] bài tập, việc tập luyện
exert	(v) [ɪɡˈzɜːt] gắng sức, đề nghị
exhibit	(v) [ɪɡˈzɪbɪt] trưng bày, trình bày
exhibition	(n) [ˌeksɪˈbɪʃn] cuộc triển lãm, sự trưng bày
exist	(v) [ɪɡˈzɪst] tồn tại, có mặt
existence	(n) [ɪɡˈzɪstəns] sự tồn tại, sự sống
exit	(n) [ˈeksɪt] lối ra, cửa ra
expand	(v) [ɪkˈspænd] mở rộng, mở rộng
expansion	(n) [ɪkˈspænʃn] sự mở rộng, sự mở rộng
expect	(v) [ɪkˈspekt] mong đợi, hy vọng
expectation	(n) [ˌekspekˈteɪʃn] kỳ vọng, sự mong đợi
expense	(n) [ɪkˈspens] chi phí, chi phí
expensive	(adj) [ɪkˈspensɪv] đắt tiền, đắt tiền
experience	(n) [ɪkˈspɪəriəns] kinh nghiệm, trải nghiệm
experiment	(n) [ɪkˈsperɪmənt] thí nghiệm, cuộc thử nghiệm
experimental	(adj) [ɪkˌsperɪˈmentl] thử nghiệm, thí nghiệm
expert	(n) [ˈekspɜːt] chuyên gia, người có chuyên môn
explain	(v) [ɪkˈspleɪn] giải thích, làm sáng tỏ
explanation	(n) [ˌekspləˈneɪʃn] sự giải thích, lời giải thích
explode	(v) [ɪkˈspləʊd] nổ tung, phát nổ
explore	(v) [ɪkˈsplɔːr] khám phá, thám hiểm
export	(v) [ɪkˈspɔːt] xuất khẩu, xuất khẩu
expose	(v) [ɪkˈspəʊz] phơi bày, tiết lộ
exposure	(n) [ɪkˈspəʊʒə(r)] sự tiếp xúc, sự phơi bày
express	(v) [ɪkˈspres] diễn đạt, biểu lộ
expression	(n) [ɪkˈspreʃn] sự diễn đạt, biểu hiện
extend	(v) [ɪkˈstend] mở rộng, mở rộng
extension	(n) [ɪkˈstenʃn] sự mở rộng, sự mở rộng
extent	(n) [ɪkˈstent] phạm vi, mức độ
extra	(adj) [ˈekstrə] thêm, phụ
extraordinary	(adj) [ɪkˈstrɔːdəneri] phi thường, đặc biệt
extreme	(adj) [ɪkˈstriːm] cực đoan, cực kỳ
extremely	(adv) [ɪkˈstriːmli] cực kỳ, vô cùng
eye	(n) [aɪ] mắt, con mắt
eyebrow	(n) [ˈaɪbraʊ] lông mày, lông mày
face	(n) [feɪs] khuôn mặt, mặt
facility	(n) [fəˈsɪləti] cơ sở, tiện ích
fact	(n) [fækt] sự thật, thực tế
factor	(n) [ˈfæktə(r)] yếu tố, nhân tố
factory	(n) [ˈfæktəri] nhà máy, xưởng sản xuất
fail	(v) [feɪl] thất bại, không đạt được
failure	(n) [ˈfeɪljə(r)] sự thất bại, thất bại
fair	(adj) [feə(r)] công bằng, công bằng
fairly	(adv) [ˈfeə(r)li] công bằng, hợp lý
faith	(n) [feɪθ] niềm tin, đức tin
fall	(v) [fɔːl] rơi, ngã
familiar	(adj) [fəˈmɪliə(r)] quen thuộc, quen thuộc
family	(n) [ˈfæməli] gia đình, gia đình
famous	(adj) [ˈfeɪməs] nổi tiếng, nổi tiếng
fan	(n) [fæn] quạt, người hâm mộ
fantastic	(adj) [fænˈtæstɪk] tuyệt vời, tuyệt vời
far	(adv) [fɑː(r)] xa, xa
farm	(n) [fɑː(r)m] trang trại, trang trại
farmer	(n) [ˈfɑː(r)mə(r)] nông dân, nông dân
fashion	(n) [ˈfæʃən] thời trang, mốt
fast	(adj) [fæst] nhanh, nhanh chóng
fat	(adj) [fæt] béo, mập
father	(n) [ˈfɑːðə(r)] cha, cha
fault	(n) [fɔːlt] lỗi, sai lầm
favor	(n) [ˈfeɪvə(r)] ơn, ân huệ
favorite	(adj) [ˈfeɪvərɪt] ưa thích, yêu thích
fear	(n) [fɪə(r)] sợ hãi, nỗi sợ hãi
feature	(n) [ˈfiːtʃə(r)] đặc điểm, tính năng
federal	(adj) [ˈfedərəl] liên bang, liên bang
fee	(n) [fiː] phí, tiền
feed	(v) [fiːd] cho ăn, nuôi
feel	(v) [fiːl] cảm thấy, cảm giác
feeling	(n) [ˈfiːlɪŋ] cảm giác, cảm xúc
fellow	(n) [ˈfeləʊ] bạn đồng nghiệp, đồng nghiệp
female	(adj) [ˈfiːmeɪl] nữ, cái
fence	(n) [fens] hàng rào, hàng rào
festival	(n) [ˈfestɪvəl] lễ hội, lễ hội
fetch	(v) [fetʃ] đưa, mang
few	(adj) [fjuː] vài, một vài
fiber	(n) [ˈfaɪbə(r)] sợi, sợi
fiction	(n) [ˈfɪkʃn] hư cấu, tiểu thuyết
field	(n) [fiːld] lĩnh vực, đồng cỏ
fifteen	(num) [ˌfɪfˈtiːn] mười lăm, mười lăm
fifth	(num) [fɪfθ] thứ năm, thứ năm
fifty	(num) [ˈfɪfti] năm mươi, năm mươi
fight	(v) [faɪt] chiến đấu, đấu tranh
figure	(n) [ˈfɪɡə(r)] hình dáng, hình ảnh
file	(n) [faɪl] tập tin, tệp
fill	(v) [fɪl] lấp đầy, điền vào
film	(n) [fɪlm] phim, bộ phim
final	(adj) [ˈfaɪnl] cuối cùng, cuối cùng
finally	(adv) [ˈfaɪnəli] cuối cùng, cuối cùng
finance	(n) [ˈfaɪnæns] tài chính, tài chính
financial	(adj) [faɪˈnænʃl] tài chính, tài chính
find	(v) [faɪnd] tìm thấy, tìm kiếm
finding	(n) [ˈfaɪndɪŋ] phát hiện, kết quả
fine	(adj) [faɪn] tốt, tốt
finger	(n) [ˈfɪŋɡə(r)] ngón tay, ngón tay
finish	(v) [ˈfɪnɪʃ] kết thúc, hoàn thành
fire	(n) [faɪə(r)] lửa, hỏa
firm	(adj) [fɜː(r)m] vững chắc, cố định
first	(adj) [fɜː(r)st] đầu tiên, đầu tiên
fish	(n) [fɪʃ] cá, cá
fishing	(n) [ˈfɪʃɪŋ] câu cá, việc câu cá
fit	(adj) [fɪt] phù hợp, vừa vặn
five	(num) [faɪv] năm, năm
fix	(v) [fɪks] sửa chữa, sửa lại
flag	(n) [flæɡ] cờ, lá cờ
flame	(n) [fleɪm] ngọn lửa, lửa
flash	(v) [flæʃ] nhấp nháy, sáng chói
flat	(adj) [flæt] phẳng, bằng phẳng
flavor	(n) [ˈfleɪvə(r)] hương vị, vị
flee	(v) [fliː] chạy trốn, bỏ chạy
flesh	(n) [fleʃ] thịt, thịt
flight	(n) [flaɪt] chuyến bay, chuyến đi
float	(v) [fləʊt] nổi, lơ lửng
flood	(n) [flʌd] lũ lụt, lũ lụt
floor	(n) [flɔː(r)] sàn, tầng
flow	(v) [fləʊ] chảy, dòng chảy
flower	(n) [ˈflaʊə(r)] hoa, bông hoa
fly	(v) [flaɪ] bay, đi
focus	(n) [ˈfəʊkəs] tập trung, trọng tâm
fold	(v) [fəʊld] gấp, gấp lại
folk	(n) [fəʊk] nhân dân, dân gian
follow	(v) [ˈfɒləʊ] theo, tiếp theo
following	(adj) [ˈfɒləʊɪŋ] sau đó, theo sau
food	(n) [fuːd] thức ăn, thức ăn
foot	(n) [fʊt] chân, chân
football	(n) [ˈfʊtbɔːl] bóng đá, bóng đá
for	(pre) [fɔː(r)] cho, vì
force	(n) [fɔː(r)s] lực, sức mạnh
foreign	(adj) [ˈfɒrən] nước ngoài, nước ngoài
forest	(n) [ˈfɒrɪst] rừng, khu rừng
forever	(adv) [fəˈrevə(r)] mãi mãi, vĩnh viễn
forget	(v) [fəˈɡet] quên, quên
forgive	(v) [fəˈɡɪv] tha thứ, ân xá
fork	(n) [fɔː(r)k] cái nĩa, cái dĩa
form	(n) [fɔː(r)m] hình thức, hình thức
formal	(adj) [ˈfɔː(r)məl] chính thức, chính thức
formation	(n) [fɔː(r)ˈmeɪʃn] hình thành, sự hình thành
former	(adj) [ˈfɔː(r)mə(r)] cũ, cũ
formula	(n) [ˈfɔː(r)mjʊlə] công thức, công thức
forth	(adv) [fɔː(r)θ] đi ra, tiếp tục
fortune	(n) [ˈfɔː(r)tʃuːn] vận may, tài lộc
forward	(adv) [ˈfɔː(r)wə(r)d] về phía trước, về phía trước
foundation	(n) [faʊnˈdeɪʃn] quỹ, quỹ
frame	(n) [freɪm] khung, khung
framework	(n) [ˈfreɪmwɜː(r)k] khuôn khổ, khung cảnh
frank	(adj) [fræŋk] trung thực, thành thật
freedom	(n) [ˈfriːdəm] tự do, tự do
freeze	(v) [friːz] đóng băng, đông lại
French	(adj) [frentʃ] người Pháp, ngôn ngữ Pháp
frequency	(n) [ˈfriːkwənsi] tần số, tần số
frequent	(adj) [ˈfriːkwənt] thường xuyên, thường xuyên
frequently	(adv) [ˈfriːkwəntli] thường xuyên, thường xuyên
fresh	(adj) [freʃ] tươi mới, mới
Friday	(n) [ˈfraɪdeɪ] thứ Sáu, thứ Sáu
friend	(n) [frend] bạn bè, bạn bè
friendly	(adj) [ˈfrendli] thân thiện, thân thiện
friendship	(n) [ˈfrendʃɪp] tình bạn, tình bạn
from	(pre) [frɒm] từ, từ
front	(n) [frʌnt] phía trước, phía trước
fruit	(n) [fruːt] trái cây, hoa quả
frustrate	(v) [frʌˈstreɪt] làm thất vọng, làm thất vọng
frustrated	(adj) [frʌˈstreɪtɪd] thất vọng, thất vọng
frustrating	(adj) [frʌˈstreɪtɪŋ] làm thất vọng, gây thất vọng
frustration	(n) [frʌˈstreɪʃn] sự thất vọng, sự thất vọng
fuel	(n) [fjuːəl] nhiên liệu, nhiên liệu
full	(adj) [fʊl] đầy, đầy đủ
fully	(adv) [ˈfʊli] hoàn toàn, hoàn toàn
fun	(n) [fʌn] vui vẻ, niềm vui
function	(n) [ˈfʌŋkʃn] chức năng, chức năng
fund	(n) [fʌnd] quỹ, quỹ
fundamental	(adj) [ˌfʌndəˈmentl] cơ bản, cơ bản
funeral	(n) [ˈfjuːnərəl] đám tang, đám tang
funny	(adj) [ˈfʌni] buồn cười, hài hước
furniture	(n) [ˈfɜːnɪtʃə(r)] đồ đạc, đồ đạc
further	(adv) [ˈfɜːðə(r)] xa hơn, tiếp theo
future	(n) [ˈfjuːtʃə(r)] tương lai, tương lai
gain	(v) [ɡeɪn] đạt được, thu được
galaxy	(n) [ˈɡæləksi] dải ngân hà, thiên hà
gallery	(n) [ˈɡæləri] phòng trưng bày, phòng trưng bày
game	(n) [ɡeɪm] trò chơi, trò chơi
gang	(n) [ɡæŋ] băng nhóm, nhóm
gap	(n) [ɡæp] khoảng cách, khe hở
garage	(n) [ˈɡærɑːʒ] nhà để xe, nhà gara
garden	(n) [ˈɡɑːrdn] vườn, vườn
garlic	(n) [ˈɡɑːrlɪk] tỏi, tỏi
gas	(n) [ɡæs] khí, khí
gate	(n) [ɡeɪt] cổng, cửa
gather	(v) [ˈɡæðə(r)] tập hợp, thu thập
gay	(adj) [ɡeɪ] đồng tính, đồng tính
gear	(n) [ɡɪə(r)] bánh răng, bánh răng
gender	(n) [ˈdʒendə(r)] giới tính, giới tính
gene	(n) [dʒiːn] gen, gen
general	(adj) [ˈdʒenərəl] tổng quát, chung
generally	(adv) [ˈdʒenərəli] nói chung, thông thường
generate	(v) [ˈdʒenəreɪt] tạo ra, sinh ra
generation	(n) [ˌdʒenəˈreɪʃn] thế hệ, thế hệ
generator	(n) [ˈdʒenəreɪtə(r)] máy phát điện, máy phát điện
genetic	(adj) [dʒəˈnetɪk] di truyền, di truyền
gentle	(adj) [ˈdʒentl] nhẹ nhàng, nhẹ nhàng
gently	(adv) [ˈdʒentli] nhẹ nhàng, nhẹ nhàng
genuine	(adj) [ˈdʒenjuɪn] chính hãng, thực sự
geography	(n) [dʒiˈɒɡrəfi] địa lý, địa lý
gesture	(n) [ˈdʒestʃə(r)] cử chỉ, điệu bộ
get	(v) [ɡet] nhận được, lấy được
ghost	(n) [ɡəʊst] ma, hồn ma
giant	(n) [ˈdʒaɪənt] người khổng lồ, khổng lồ
gift	(n) [ɡɪft] món quà, món quà
girl	(n) [ɡɜːrl] cô gái, con gái
give	(v) [ɡɪv] cho, đưa
glad	(adj) [ɡlæd] vui, hạnh phúc
glass	(n) [ɡlɑːs] ly, cốc
global	(adj) [ˈɡləʊbl] toàn cầu, toàn cầu
glove	(n) [ɡlʌv] găng tay, găng tay
go	(v) [ɡəʊ] đi, đi
goal	(n) [ɡəʊl] mục tiêu, bàn thắng
god	(n) [ɡɒd] thần, đức Chúa Trời
gold	(n) [ɡəʊld] vàng, vàng
golden	(adj) [ˈɡəʊldən] vàng, màu vàng
golf	(n) [ɡɒlf] golf, golf
good	(adj) [ɡʊd] tốt, tốt
government	(n) [ˈɡʌvə(r)mənt] chính phủ, chính phủ
governor	(n) [ˈɡʌvə(r)nə(r)] thống đốc, thống đốc
grab	(v) [ɡræb] nắm, túm
grade	(n) [ɡreɪd] lớp, cấp
gradually	(adv) [ˈɡrædʒuəli] dần dần, từ từ
grain	(n) [ɡreɪn] hạt, hạt
grand	(adj) [ɡrænd] lớn, tráng lệ
grandfather	(n) [ˈɡrændˌfɑːðə(r)] ông, ông
grandmother	(n) [ˈɡrændˌmʌðə(r)] bà, bà
grant	(n) [ɡrɑːnt] học bổng, khen thưởng
grass	(n) [ɡrɑːs] cỏ, cỏ
grateful	(adj) [ˈɡreɪtfəl] biết ơn, biết ơn
grave	(n) [ɡreɪv] mộ, mộ
great	(adj) [ɡreɪt] tuyệt vời, lớn
green	(adj) [ɡriːn] màu xanh lá cây, màu xanh lá cây
greet	(v) [ɡriːt] chào hỏi, gặp
grey	(adj) [ɡreɪ] màu xám, màu xám
grid	(n) [ɡrɪd] lưới, lưới
grief	(n) [ɡriːf] nỗi đau buồn, sự đau buồn
grind	(v) [ɡraɪnd] nghiền, xay
grip	(v) [ɡrɪp] nắm chặt, cầm chặt
grocery	(n) [ˈɡrəʊsəri] cửa hàng tạp hóa, hàng tạp hóa
gross	(adj) [ɡrəʊs] tổng cộng, tổng cộng
ground	(n) [ɡraʊnd] đất, mặt đất
group	(n) [ɡruːp] nhóm, nhóm
grow	(v) [ɡrəʊ] phát triển, mọc
growth	(n) [ɡrəʊθ] sự phát triển, tăng trưởng
guarantee	(n) [ˌɡærənˈtiː] bảo đảm, đảm bảo
guard	(n) [ɡɑːrd] người bảo vệ, bảo vệ
guess	(v) [ɡes] đoán, phỏng đoán
guest	(n) [ɡest] khách, khách mời
guidance	(n) [ˈɡaɪdəns] sự hướng dẫn, sự hướng dẫn
guide	(n) [ɡaɪd] hướng dẫn, hướng dẫn
guideline	(n) [ˈɡaɪdlaɪn] nguyên tắc hướng dẫn, hướng dẫn
guilty	(adj) [ˈɡɪlti] có tội, có tội
gun	(n) [ɡʌn] súng, súng
guy	(n) [ɡaɪ] chàng trai, anh chàng
habit	(n) [ˈhæbɪt] thói quen, thói quen
hair	(n) [heə(r)] tóc, tóc
half	(n) [hɑːf] một nửa, một nửa
hall	(n) [hɔːl] hội trường, đại sảnh
hand	(n) [hænd] bàn tay, tay
handle	(v) [ˈhændl] xử lý, cầm
hang	(v) [hæŋ] treo, mắc
happen	(v) [ˈhæpən] xảy ra, diễn ra
happy	(adj) [ˈhæpi] hạnh phúc, vui vẻ
hard	(adj) [hɑːd] khó khăn, khó khăn
hardly	(adv) [ˈhɑːdli] hầu như không, hầu như không
harm	(n) [hɑːm] tổn hại, sự tổn hại
harmful	(adj) [ˈhɑːmfəl] có hại, gây hại
harmony	(n) [ˈhɑːməni] hòa thuận, sự hòa hợp
hat	(n) [hæt] mũ, mũ
hate	(v) [heɪt] ghét, căm ghét
have	(v) [hæv] có, sở hữu
he	(pro) [hiː] anh ấy, ông ấy
head	(n) [hed] đầu, phần đầu
headquarters	(n) [ˌhedˈkwɔːtəz] trụ sở, trụ sở
heal	(v) [hiːl] chữa lành, làm lành
health	(n) [helθ] sức khỏe, sức khỏe
healthy	(adj) [ˈhelθi] khỏe mạnh, lành mạnh
hear	(v) [hɪə(r)] nghe, lắng nghe
hearing	(n) [ˈhɪərɪŋ] thính giác, khả năng nghe
heart	(n) [hɑːt] trái tim, tim
heat	(n) [hiːt] nhiệt độ, nhiệt
heaven	(n) [ˈhevən] thiên đàng, thiên đường
heavily	(adv) [ˈhevɪli] nặng nề, nặng nề
heavy	(adj) [ˈhevi] nặng, nặng nề
heel	(n) [hiːl] gót chân, gót chân
height	(n) [haɪt] chiều cao, độ cao
hello	(int) [həˈləʊ] xin chào, chào
help	(v) [help] giúp đỡ, giúp đỡ
helpful	(adj) [ˈhelpfəl] có ích, hữu ích
hence	(adv) [hens] vì thế, do đó
her	(pro) [hɜː(r)] của cô ấy, của bà ấy
here	(adv) [hɪə(r)] ở đây, đây
heritage	(n) [ˈherɪtɪdʒ] di sản, di sản
hero	(n) [ˈhɪərəʊ] anh hùng, anh hùng
hers	(pro) [hɜː(r)z] của cô ấy, của bà ấy
herself	(pro) [hɜː(r)ˈself] bản thân cô ấy, bản thân bà ấy
hesitate	(v) [ˈhezɪteɪt] ngần ngại, do dự
hidden	(adj) [ˈhɪdn] ẩn, ẩn
hide	(v) [haɪd] trốn, giấu
high	(adj) [haɪ] cao, cao
highlight	(v) [ˈhaɪlaɪt] làm nổi bật, làm nổi bật
highly	(adv) [ˈhaɪli] rất, rất
highway	(n) [ˈhaɪweɪ] xa lộ, đường cao tốc
hill	(n) [hɪl] đồi, đồi
him	(pro) [hɪm] anh ấy, ông ấy
himself	(pro) [hɪmˈself] bản thân anh ấy, bản thân ông ấy
hip	(n) [hɪp] hông, hông
hire	(v) [haɪə(r)] thuê, thuê
his	(pro) [hɪz] của anh ấy, của ông ấy
historian	(n) [hɪˈstɔːriən] nhà sử học, nhà sử học
historic	(adj) [hɪˈstɒrɪk] lịch sử, lịch sử
historical	(adj) [hɪˈstɒrɪkl] lịch sử, lịch sử
history	(n) [ˈhɪstəri] lịch sử, lịch sử
hit	(v) [hɪt] đánh, đánh
hold	(v) [həʊld] cầm, giữ
hole	(n) [həʊl] lỗ, lỗ
holiday	(n) [ˈhɒlɪdeɪ] ngày lễ, ngày lễ
holy	(adj) [ˈhəʊli] thánh, thánh
home	(n) [həʊm] nhà, nhà
homework	(n) [ˈhəʊmwɜːk] bài tập về nhà, bài tập về nhà
honest	(adj) [ˈɒnɪst] trung thực, trung thực
honestly	(adv) [ˈɒnɪstli] trung thực, trung thực
honey	(n) [ˈhʌni] mật ong, mật ong
honor	(n) [ˈɒnə(r)] vinh dự, danh dự
hope	(n) [həʊp] hy vọng, hy vọng
hopeful	(adj) [ˈhəʊpfəl] hy vọng, đầy hy vọng
hopefully	(adv) [ˈhəʊpfəli] hy vọng, hi vọng
horizon	(n) [həˈraɪzn] chân trời, đường chân trời
horizontal	(adj) [ˌhɒrɪˈzɒntl] ngang, ngang
horse	(n) [hɔːs] ngựa, con ngựa
hospital	(n) [ˈhɒspɪtl] bệnh viện, bệnh viện
host	(n) [həʊst] chủ nhà, người chủ trì
hot	(adj) [hɒt] nóng, nóng
hotel	(n) [həʊˈtel] khách sạn, khách sạn
hour	(n) [aʊə(r)] giờ, giờ
house	(n) [haʊs] nhà, ngôi nhà
household	(n) [ˈhaʊshəʊld] hộ gia đình, hộ gia đình
housing	(n) [ˈhaʊzɪŋ] nhà ở, nhà ở
how	(adv) [haʊ] như thế nào, như thế nào
however	(adv) [haʊˈevə(r)] tuy nhiên, tuy nhiên
huge	(adj) [hjuːdʒ] to lớn, lớn
human	(adj) [ˈhjuːmən] con người, loài người
humorous	(adj) [ˈhjuːmərəs] hài hước, hóm hỉnh
hundred	(num) [ˈhʌndrəd] trăm, trăm
hungry	(adj) [ˈhʌŋɡri] đói, đói
hunt	(v) [hʌnt] săn, săn bắn
hurry	(v) [ˈhʌri] vội vàng, vội vàng
hurt	(v) [hɜːt] làm tổn thương, làm đau
husband	(n) [ˈhʌzbənd] chồng, chồng
hypothesis	(n) [haɪˈpɒθəsɪs] giả thuyết, giả thuyết
ice	(n) [aɪs] đá, băng
